time,major,category,num_asleep,year,count
2/17/20 5:00,DMD,ENG,7,2021,7
2/17/20 5:00,Cognitive Science,CAS,1,2023,1
2/17/20 5:00,CBE,ENG,1,2022,2
2/17/20 5:00,Marketing,Wharton,1,2023,1
2/17/20 5:00,Political Science,CAS,2,2021,2
2/17/20 5:00,Neuroscience,CAS,2,2023,2
2/17/20 5:00,Chemistry,CAS,1,2023,1
2/17/20 5:00,Misc,N/A,1,2020,1
2/17/20 5:00,2022,NULL,1,N/A,1
2/17/20 5:00,Economics,CAS,2,2023,2
2/17/20 5:00,Computer Science,ENG,20,2022,21
2/17/20 5:00,Math,CAS,1,2022,1
2/17/20 5:00,Wharton,NULL,1,2022,1
2/17/20 5:00,Nursing,NURS,1,2020,1
2/17/20 5:00,Mathematical Economics,CAS,1,2021,1
2/17/20 5:00,Cognitive Science,CAS,1,2022,1
2/17/20 5:00,Finance,Wharton,6,2022,7
2/17/20 5:00,OIDD,Wharton,2,2020,2
2/17/20 5:00,Neuroscience,CAS,7,2022,7
2/17/20 5:00,Fine Arts,CAS,1,2023,1
2/17/20 5:00,Misc,N/A,1,2021,1
2/17/20 5:00,CBE,ENG,2,2021,2
2/17/20 5:00,Computer Science,ENG,16,2021,17
2/17/20 5:00,Political Science,CAS,1,2022,1
2/17/20 5:00,Misc,N/A,9,N/A,10
2/17/20 5:00,Marketing,Wharton,1,2022,1
2/17/20 5:00,Statistics,Wharton,2,2020,2
2/17/20 5:00,Communications,CAS,1,2021,1
2/17/20 5:00,English,CAS,2,2021,2
2/17/20 5:00,PPE,CAS,1,2023,1
2/17/20 5:00,Finance,Wharton,3,2021,3
2/17/20 5:00,Mechanical Engineering,ENG,1,N/A,1
2/17/20 5:00,Business Analytics,Wharton,2,2020,2
2/17/20 5:00,Neuroscience,CAS,2,2021,2
2/17/20 5:00,Misc,N/A,1,2022,1
2/17/20 5:00,Cognitive Science,CAS,1,2021,1
2/17/20 5:00,Systems Engineering,ENG,1,2022,1
2/17/20 5:00,Computer Science,ENG,1,2020,1
2/17/20 5:00,Undecided,CAS,1,2023,1
2/17/20 5:00,GSWS,CAS,1,2020,1
2/17/20 5:00,Music,CAS,1,2020,1
2/17/20 5:00,Political Science,CAS,2,2023,2
2/17/20 5:00,Computer Science,ENG,1,N/A,1
2/17/20 5:00,Statistics,Wharton,3,2021,3
2/17/20 5:00,Finance,Wharton,1,2020,2
2/17/20 5:00,Business Analytics,Wharton,2,2021,2
2/17/20 5:00,History,CAS,1,2023,1
2/17/20 5:00,Neuroscience,CAS,4,2020,4
2/17/20 5:00,Economics,CAS,1,2021,1
2/17/20 5:00,Nursing,NURS,0,2022,0.01
2/17/20 5:00,Misc,N/A,4,2023,4
2/17/20 5:00,DMD,ENG,1,2020,1
2/17/20 5:00,CBE,ENG,2,2023,2
2/17/20 5:00,Systems Engineering,ENG,2,2023,2
2/17/20 5:00,Bioengineering,ENG,1,2023,1
2/17/20 6:00,PPE,CAS,1,2020,1
2/17/20 6:00,Nutrition,CAS,1,2021,1
2/17/20 6:00,Fine Arts,CAS,1,2021,1
2/17/20 6:00,Philosophy,CAS,1,2021,1
2/17/20 6:00,Statistics,Wharton,1,2022,1
2/17/20 6:00,Political Science,CAS,1,2020,1
2/17/20 6:00,Systems Engineering,ENG,1,2020,1
2/17/20 6:00,Nutrition,CAS,1,2022,1
2/17/20 6:00,Biomedical Engineering,NULL,1,2023,1
2/17/20 6:00,Computer Science,ENG,4,2023,4
2/17/20 6:00,PPE,CAS,2,2021,2
2/17/20 6:00,Business Analytics,Wharton,2,2022,2
2/17/20 6:00,Urban Studies,CAS,1,2022,1
2/17/20 6:00,Economics,CAS,1,2020,2
2/17/20 6:00,Nursing,NURS,1,2021,2
2/17/20 6:00,Communications,CAS,1,2023,1
2/17/20 6:00,DMD,ENG,7,2021,7
2/17/20 6:00,Cognitive Science,CAS,1,2023,1
2/17/20 6:00,CBE,ENG,1,2022,2
2/17/20 6:00,Marketing,Wharton,1,2023,1
2/17/20 6:00,Political Science,CAS,2,2021,2
2/17/20 6:00,Neuroscience,CAS,2,2023,2
2/17/20 6:00,Chemistry,CAS,1,2023,1
2/17/20 6:00,Misc,N/A,1,2020,1
2/17/20 6:00,2022,NULL,1,N/A,1
2/17/20 6:00,Economics,CAS,2,2023,2
2/17/20 6:00,Computer Science,ENG,20,2022,21
2/17/20 6:00,Math,CAS,1,2022,1
2/17/20 6:00,Wharton,NULL,1,2022,1
2/17/20 6:00,Nursing,NURS,1,2020,1
2/17/20 6:00,Mathematical Economics,CAS,1,2021,1
2/17/20 6:00,Cognitive Science,CAS,1,2022,1
2/17/20 6:00,Finance,Wharton,6,2022,7
2/17/20 6:00,OIDD,Wharton,2,2020,2
2/17/20 6:00,Neuroscience,CAS,7,2022,7
2/17/20 6:00,Fine Arts,CAS,1,2023,1
2/17/20 6:00,Misc,N/A,1,2021,1
2/17/20 6:00,CBE,ENG,2,2021,2
2/17/20 6:00,Computer Science,ENG,16,2021,17
2/17/20 6:00,Political Science,CAS,1,2022,1
2/17/20 6:00,Misc,N/A,10,N/A,10
2/17/20 6:00,Marketing,Wharton,1,2022,1
2/17/20 6:00,Statistics,Wharton,2,2020,2
2/17/20 6:00,Communications,CAS,1,2021,1
2/17/20 6:00,English,CAS,2,2021,2
2/17/20 6:00,PPE,CAS,1,2023,1
2/17/20 6:00,Finance,Wharton,3,2021,3
2/17/20 6:00,Mechanical Engineering,ENG,1,N/A,1
2/17/20 6:00,Business Analytics,Wharton,2,2020,2
2/17/20 6:00,Neuroscience,CAS,2,2021,2
2/17/20 6:00,Misc,N/A,1,2022,1
2/17/20 6:00,Cognitive Science,CAS,1,2021,1
2/17/20 6:00,Systems Engineering,ENG,1,2022,1
2/17/20 6:00,Computer Science,ENG,1,2020,1
2/17/20 6:00,Undecided,CAS,1,2023,1
2/17/20 6:00,GSWS,CAS,1,2020,1
2/17/20 6:00,Music,CAS,1,2020,1
