time,major,category,num_asleep,year,count
2/17/20 6:00,Nursing,NURS,1,2021,2
2/17/20 6:00,Communications,CAS,1,2023,1
2/17/20 6:00,DMD,ENG,7,2021,7
2/17/20 6:00,Cognitive Science,NULL,1,2023,1
2/17/20 6:00,CBE,ENG,1,2022,2
2/17/20 6:00,Marketing,Wharton,1,2023,1
2/17/20 6:00,Political Science,CAS,2,2021,2
2/17/20 6:00,OIDD,Wharton,2,2020,2
2/17/20 6:00,BBB,CAS,6,2022,6
2/17/20 6:00,Chemistry,CAS,1,2023,1
2/17/20 6:00,Misc,N/A,1,2020,1
2/17/20 6:00,2022,NULL,1,N/A,1
2/17/20 6:00,Economics,CAS,2,2023,2
2/17/20 6:00,Computer Science,ENG,20,2022,21
2/17/20 6:00,International Studies and Business,NULL,1,2023,1
2/17/20 6:00,Math,NULL,1,2022,1
2/17/20 6:00,Undecided, Wharton,1,2022,1
2/17/20 6:00,Nursing,NURS,1,2020,1
2/17/20 6:00,Mathematical Economics,CAS,1,2021,1
2/17/20 6:00,Cognitive Science,NULL,1,2022,1
2/17/20 6:00,Finance,Wharton,6,2022,7
2/17/20 6:00,Bioegineering,NULL,1,2023,1
2/17/20 6:00,SSE,NULL,1,2020,1
2/17/20 6:00,Neuroscience,NULL,1,2022,1
2/17/20 6:00,BBB,CAS,2,2021,2
2/17/20 6:00,Misc,N/A,1,2021,1
2/17/20 6:00,CBE,ENG,2,2021,2
2/17/20 6:00,Computer Science,ENG,15,2021,16
2/17/20 6:00,Political Science,CAS,1,2022,1
2/17/20 6:00,Misc,N/A,10,N/A,10
2/17/20 6:00,Marketing,Wharton,1,2022,1
2/17/20 6:00,Statistics,Wharton,2,2020,2
2/17/20 6:00,Communications,CAS,1,2021,1
2/17/20 6:00,English,CAS,2,2021,2
2/17/20 6:00,PPE,CAS,1,2023,1
2/17/20 6:00,Finance,Wharton,2,2021,2
2/17/20 6:00,Mechanical Engineering,NULL,1,N/A,1
2/17/20 6:00,Business Analytics,Wharton,2,2020,2
2/17/20 6:00,Fine Arts,NULL,1,2021,1
2/17/20 6:00,Political Science,CAS,2,2023,2
2/17/20 6:00,BBB,CAS,4,2020,4
2/17/20 6:00,Misc,N/A,1,2022,1
2/17/20 6:00,Cognitive Science,NULL,1,2021,1
2/17/20 6:00,Systems Engineering,NULL,1,2022,1
2/17/20 6:00,Computer Science,ENG,1,2020,1
2/17/20 6:00,Undecided,NULL,1,2023,1
2/17/20 6:00,Music,CAS,1,2020,1
2/17/20 6:00,Fine Arts,NULL,1,2023,1
2/17/20 6:00,Computer Science,ENG,1,N/A,1
2/17/20 6:00,Statistics,Wharton,3,2021,3
2/17/20 6:00,Finance,Wharton,1,2020,2
2/17/20 6:00,Business Analytics,Wharton,2,2021,2
2/17/20 6:00,History,CAS,1,2023,1
2/17/20 6:00,Economics,CAS,1,2021,1
2/17/20 6:00,Misc,N/A,4,2023,4
2/17/20 6:00,DMD,ENG,1,2020,1
2/17/20 6:00,CBE,ENG,2,2023,2
2/17/20 6:00,Systems Engineering,NULL,2,2023,2
2/17/20 6:00,GSWS,CAS,1,2020,1
2/17/20 7:00,PPE,CAS,1,2020,1
2/17/20 7:00,Nutrition,CAS,1,2021,1
2/17/20 7:00,BBB,CAS,2,2023,2
2/17/20 7:00,Philosophy,CAS,1,2021,1
2/17/20 7:00,Statistics,Wharton,1,2022,1
2/17/20 7:00,Political Science,CAS,1,2020,1
2/17/20 7:00,Nutrition,CAS,1,2022,1
2/17/20 7:00,Bioengineering,ENG,1,2023,1
2/17/20 7:00,Computer Science,ENG,4,2023,4
2/17/20 7:00,PPE,CAS,2,2021,2
2/17/20 7:00,Finance and Computer Science,NULL,1,2021,1
2/17/20 7:00,Business Analytics,Wharton,2,2022,2
2/17/20 7:00,Urban Studies,CAS,1,2022,1
2/17/20 7:00,Economics,CAS,1,2020,2
2/17/20 7:00,Nursing,NURS,1,2021,2
2/17/20 7:00,Communications,CAS,1,2023,1
2/17/20 7:00,DMD,ENG,6,2021,7
2/17/20 7:00,Cognitive Science,NULL,1,2023,1
2/17/20 7:00,CBE,ENG,1,2022,2
2/17/20 7:00,Marketing,Wharton,1,2023,1
2/17/20 7:00,Political Science,CAS,1,2021,2
2/17/20 7:00,OIDD,Wharton,2,2020,2
2/17/20 7:00,BBB,CAS,6,2022,6
2/17/20 7:00,Chemistry,CAS,1,2023,1
2/17/20 7:00,Misc,N/A,1,2020,1
2/17/20 7:00,2022,NULL,1,N/A,1
2/17/20 7:00,Economics,CAS,2,2023,2
2/17/20 7:00,Computer Science,ENG,21,2022,21
2/17/20 7:00,International Studies and Business,NULL,1,2023,1
2/17/20 7:00,Math,NULL,1,2022,1
2/17/20 7:00,Undecided, Wharton,1,2022,1
2/17/20 7:00,Nursing,NURS,1,2020,1
2/17/20 7:00,Mathematical Economics,CAS,1,2021,1
2/17/20 7:00,Cognitive Science,NULL,1,2022,1
2/17/20 7:00,Finance,Wharton,6,2022,7
2/17/20 7:00,Bioegineering,NULL,1,2023,1
2/17/20 7:00,SSE,NULL,1,2020,1
2/17/20 7:00,Neuroscience,NULL,1,2022,1
2/17/20 7:00,BBB,CAS,2,2021,2
2/17/20 7:00,Misc,N/A,1,2021,1
2/17/20 7:00,CBE,ENG,2,2021,2
2/17/20 7:00,Computer Science,ENG,15,2021,16
2/17/20 7:00,Political Science,CAS,1,2022,1
2/17/20 7:00,Misc,N/A,10,N/A,10
2/17/20 7:00,Marketing,Wharton,1,2022,1
2/17/20 7:00,Statistics,Wharton,2,2020,2
2/17/20 7:00,Communications,CAS,1,2021,1
2/17/20 7:00,English,CAS,2,2021,2
2/17/20 7:00,PPE,CAS,1,2023,1
2/17/20 7:00,Finance,Wharton,2,2021,2
2/17/20 7:00,Mechanical Engineering,NULL,1,N/A,1
2/17/20 7:00,Business Analytics,Wharton,2,2020,2
2/17/20 7:00,Fine Arts,NULL,1,2021,1
2/17/20 7:00,Political Science,CAS,2,2023,2
2/17/20 7:00,BBB,CAS,4,2020,4
2/17/20 7:00,Cognitive Science,NULL,1,2021,1
2/17/20 7:00,Systems Engineering,NULL,1,2022,1
2/17/20 7:00,Computer Science,ENG,1,2020,1
2/17/20 7:00,Undecided,NULL,1,2023,1
2/17/20 7:00,Music,CAS,1,2020,1
2/17/20 7:00,Fine Arts,NULL,1,2023,1
2/17/20 7:00,Computer Science,ENG,1,N/A,1
2/17/20 7:00,Statistics,Wharton,3,2021,3
2/17/20 7:00,Finance,Wharton,1,2020,2
2/17/20 7:00,Business Analytics,Wharton,2,2021,2
2/17/20 7:00,History,CAS,1,2023,1
2/17/20 7:00,Economics,CAS,1,2021,1
2/17/20 7:00,Misc,N/A,4,2023,4
2/17/20 7:00,DMD,ENG,1,2020,1
2/17/20 7:00,CBE,ENG,2,2023,2
2/17/20 7:00,Systems Engineering,NULL,2,2023,2
2/17/20 7:00,GSWS,CAS,1,2020,1
2/17/20 8:00,PPE,CAS,1,2020,1
2/17/20 8:00,Political Science,CAS,1,2020,1
2/17/20 8:00,BBB,CAS,1,2023,2
2/17/20 8:00,Statistics,Wharton,1,2022,1
2/17/20 8:00,Bioengineering,ENG,1,2023,1
2/17/20 8:00,Computer Science,ENG,3,2023,4
2/17/20 8:00,PPE,CAS,2,2021,2
2/17/20 8:00,Business Analytics,Wharton,2,2022,2
2/17/20 8:00,Urban Studies,CAS,1,2022,1
2/17/20 8:00,Economics,CAS,1,2020,2
2/17/20 8:00,Philosophy,CAS,1,2021,1
2/17/20 8:00,DMD,ENG,6,2021,7
2/17/20 8:00,Cognitive Science,NULL,1,2023,1
2/17/20 8:00,CBE,ENG,1,2022,2
2/17/20 8:00,Marketing,Wharton,1,2023,1
2/17/20 8:00,Political Science,CAS,1,2021,2
2/17/20 8:00,OIDD,Wharton,2,2020,2
2/17/20 8:00,BBB,CAS,6,2022,6
2/17/20 8:00,Chemistry,CAS,1,2023,1
2/17/20 8:00,Misc,N/A,1,2020,1
2/17/20 8:00,2022,NULL,1,N/A,1
2/17/20 8:00,Economics,CAS,2,2023,2
2/17/20 8:00,Computer Science,ENG,21,2022,21
2/17/20 8:00,International Studies and Business,NULL,1,2023,1
2/17/20 8:00,Math,NULL,1,2022,1
2/17/20 8:00,Undecided, Wharton,1,2022,1
